m_id,num,category,subcateg,title,content,price,add_letter,set_menu,set_price,add_letter2,layout,pickup,date,image,before_html,after_html
1,10,メイン,ランチ,日替り膳,"平日お昼のみとなります。
限定15食
ソフトドリンクサービス
(コーヒーもしくはリンゴジュース)
ご飯のお替りは全ての商品ご遠慮なくお申し付けください。",1000,円,あんみつか葛切りとのセット,1500,円,L,,,img/m_higawari.jpg,,
2,20,メイン,ランチ,一蓮弁当,"お昼のみとなります。
・小鉢　・刺身　・焼物
・天ぷら　・ご飯　・新香　・汁
・デザート（フルーツもしくはアイスクリーム）
・ソフトドリンク（平日限定）",1450,円,"あんみつか葛切りとのセット
(あんみつをセットに変更)",1750,円,R,,,img/m_1ren_bento.jpg,,
3,30,メイン,御膳,刺身御膳,"小鉢
刺身
茶碗蒸し
ご飯　・お新香　・汁
デザート（フルーツもしくはアイスクリーム）",1800,円,"あんみつか葛切りとのセット
(あんみつをセットに変更)",2100,円,L,,,img/m_sasimi_gzn.jpg,,
4,40,メイン,御膳,大海老天ぷら御膳,"小鉢
大海老天ぷら
茶碗蒸し
ご飯　・お新香　・汁
デザート（フルーツもしくはアイスクリーム）",1800,円,"あんみつか葛切りとのセット
(あんみつをセットに変更)",2100,円,R,,,img/m_ebiten_gzn.jpg,,
5,50,メイン,御膳,華(刺身・天ぷら御膳),"小鉢
刺身
天ぷら
茶碗蒸し
ご飯　・お新香　・汁
デザート（フルーツもしくはアイスクリーム）",2200,円,"あんみつか葛切りとのセット
(あんみつをセットに変更)",2500,円,L,,,img/m_hana_gzn,,
6,60,メイン,御膳,松花堂弁当,"小鉢
四つ切弁当に
　小八寸お造り
　揚げ物　ご飯　香物
煮物
茶碗蒸し
汁",3000,円,"あんみつか葛切りとのセット
(あんみつをセットに変更)",3300,円,R,,,img/menu_shokado.jpg,,
7,70,メイン,御膳,鹿苑-ろくおん-（会席御膳）,"先付
前茶
お造り
焼物
煮物
揚物
茶碗蒸し
ご飯　・お新香　・汁
デザート（フルーツもしくはアイスクリーム）",3300,円,"あんみつか葛切りとのセット
(あんみつをセットに変更)",3600,円,L,,,img/m_rokuon.jpg,,
8,80,メイン,御膳,大海老フライ御膳,"刺身
茶碗蒸し
ご飯　・お新香　・汁
デザート（フルーツもしくはアイスクリーム）",2200,円,"あんみつか葛切りとのセット
(あんみつをセットに変更)",2500,円,R,,,img/m_ebikatu_gzn.jpg,,
9,90,メイン,御膳,"豚ひれかつ御膳
(又は串かつ)","刺身
茶碗蒸し
ご飯　・お新香　・汁
デザート（フルーツもしくはアイスクリーム）",2200,円,"あんみつか葛切りとのセット
(あんみつをセットに変更)",2500,円,L,,,img/m_hiretatu_gzn.jpg,,
10,100,メイン,御膳,鰻重,"酢の物
肝吸
新香
デザート（フルーツもしくはアイスクリーム）",3500,円,"あんみつか葛切りとのセット
(あんみつをセットに変更)",3800,円,R,,,img/m_unaju.jpg,,
11,110,メイン,御膳,おまかせ料理,"酢の物
肝吸
新香
デザート（フルーツもしくはアイスクリーム）",4000,円より,,,,L,,,,,
